nome_municipio,ano,total_empenhado,total_liquidado,total_pago,saldo_a_pagar
BOA VENTURA,2024,32835400.05,32835400.05,32732752.72,102647.33
BOA VENTURA,2025,38505228.98,38505228.98,37038635.01,1466593.97
BOA VISTA,2023,45375156.92,41633970.52,40657034.71,4718122.21
BOA VISTA,2024,50278934.56,49993559.03,49868974.72,409959.84
BOA VISTA,2025,59304892.11,54766870.14,54249495.61,5055396.5
BOM JESUS,2023,32690891.49,32690891.49,31047031.98,1643859.51
BOM JESUS,2024,36908669.91,36861812.91,35023938.86,1884731.05
BOM JESUS,2025,39911950.08,39911950.08,38196977.79,1714972.29
BOM SUCESSO,2023,37180304.63,37057209.37,36746417.4,433887.23
BOM SUCESSO,2024,44438321.7,44438321.7,44263707.18,174614.52
BOM SUCESSO,2025,47199432.35,46692600.24,46638976.79,560455.56
BONITO DE SANTA FÉ,2023,54265726.98,54171640.49,53582051.76,683675.22
BONITO DE SANTA FÉ,2024,60750762.4,60508281.58,60359072.57,391689.83
BONITO DE SANTA FÉ,2025,68430123.47,68378826.91,68105306.74,324816.73
BOQUEIRÃO,2023,75168164.42,74201319.46,72744797.15,2423367.27
BOQUEIRÃO,2024,89625565.79,89614675.79,88522684.53,1102881.26
BOQUEIRÃO,2025,98629690.37,95554015.9,95464786.44,3164903.93
BORBOREMA,2023,27225655.22,27218580.08,25173653.15,2052002.07
BORBOREMA,2024,30828961.99,30828961.99,30547381.99,281580.0
BORBOREMA,2025,36532150.79,36525668.54,36375524.22,156626.57
BREJO DO CRUZ,2023,84565095.18,84343916.69,82672812.07,1892283.11
BREJO DO CRUZ,2024,95456584.82,95191729.07,94407352.29,1049232.53
BREJO DO CRUZ,2025,107079519.9,106180256.88,104648490.78,2431029.12
BREJO DOS SANTOS,2023,32555921.21,32280942.79,31181540.39,1374380.82
BREJO DOS SANTOS,2024,40161206.61,40061716.81,37836359.08,2324847.53
BREJO DOS SANTOS,2025,40435691.99,40393468.92,37283256.19,3152435.8
CAAPORÃ,2023,108141287.03,103899089.19,102678149.01,5463138.02
CAAPORÃ,2024,137699601.89,137699600.29,137680466.9,19134.99
CAAPORÃ,2025,152365197.46,143761856.34,140998887.48,11366309.98
CABACEIRAS,2023,41777975.6,41752117.9,40401849.92,1376125.68
CABACEIRAS,2024,61324757.93,61051811.89,60950856.02,373901.91
CABACEIRAS,2025,51660790.28,51617062.28,51345230.36,315559.92
CABEDELO,2023,510784510.16,499254318.58,482326999.69,28457510.47
CABEDELO,2024,555749713.44,541724552.05,535555331.5,20194381.94
CABEDELO,2025,582805728.92,552201757.15,540299574.65,42506154.27
CACHOEIRA DOS ÍNDIOS,2023,51633399.09,50464414.22,50338042.21,1295356.88
CACHOEIRA DOS ÍNDIOS,2024,55163306.27,55163306.27,55163306.27,0.0
CACHOEIRA DOS ÍNDIOS,2025,57427495.92,57240318.61,56592342.55,835153.37
CACIMBA DE AREIA,2023,27087689.27,27081700.27,26684069.17,403620.1
CACIMBA DE AREIA,2024,29938637.27,29922835.27,29542555.62,396081.65
CACIMBA DE AREIA,2025,33758844.99,33756148.99,32155529.9,1603315.09
CACIMBA DE DENTRO,2023,67716915.35,66136548.86,62321319.11,5395596.24
CACIMBA DE DENTRO,2024,80666487.21,79969157.84,77697982.01,2968505.2
CACIMBA DE DENTRO,2025,79489871.45,79002752.01,77230886.56,2258984.89
CACIMBAS,2023,49602057.5,49344515.88,45595675.5,4006382.0
CACIMBAS,2024,59272328.14,59052185.3,57170832.47,2101495.67
CACIMBAS,2025,61989852.21,61772371.63,58877963.07,3111889.14
CAIÇARA,2023,35912346.15,35824074.76,35271822.96,640523.19
CAIÇARA,2024,41684354.7,41668070.83,40867225.05,817129.65
CAIÇARA,2025,46521197.11,46518222.11,45749658.22,771538.89
CAJAZEIRAS,2023,259691378.04,255134048.98,244775547.18,14915830.86
CAJAZEIRAS,2024,328812454.65,325016129.93,315291598.2,13520856.45
CAJAZEIRAS,2025,336675635.73,323780661.55,320793034.76,15882600.97
CAJAZEIRINHAS,2023,27720976.38,27688036.79,27309857.74,411118.64
CAJAZEIRINHAS,2024,31266131.93,31262015.08,30762124.54,504007.39
CAJAZEIRINHAS,2025,34821886.37,34821886.34,34623015.66,198870.71
CALDAS BRANDÃO,2023,50432767.48,50088681.65,49442169.63,990597.85
CALDAS BRANDÃO,2024,49310898.63,49305625.07,48460392.53,850506.1
CALDAS BRANDÃO,2025,47837166.09,47727487.74,46299189.76,1537976.33
CAMALAÚ,2023,32489008.15,32421402.41,31593997.5,895010.65
CAMALAÚ,2024,35650702.18,33983812.04,33967710.92,1682991.26
CAMALAÚ,2025,41864946.5,39474481.95,39186394.78,2678551.72
CAMPINA GRANDE,2023,1643337920.36,1638197083.44,1566620992.39,76716927.97
CAMPINA GRANDE,2024,2007945487.2,2005472012.85,1945339744.59,62605742.61
CAMPINA GRANDE,2025,2176104770.91,2124035830.1,2025589903.86,150514867.05
CAPIM,2023,37368794.89,37250682.15,36623152.01,745642.88
CAPIM,2024,46788066.59,46316923.52,46150857.69,637208.9
CAPIM,2025,46558449.17,46555199.96,45682793.79,875655.38
CARAÚBAS,2023,28088282.13,26282259.73,25669280.46,2419001.67
CARAÚBAS,2024,31200738.55,31200738.55,31200738.55,0.0
CARAÚBAS,2025,35976219.95,35667369.95,34718953.84,1257266.11
CARRAPATEIRA,2023,26237154.2,26199636.12,25509979.77,727174.43
CARRAPATEIRA,2024,34510600.07,33859153.05,33619842.54,890757.53
CARRAPATEIRA,2025,36249542.49,36242547.45,35415589.29,833953.2
CASSERENGUE,2023,36011017.09,36005153.22,31825889.36,4185127.73
CASSERENGUE,2024,40802660.65,40784717.77,39422280.11,1380380.54
CASSERENGUE,2025,42739669.56,42678373.06,41450432.34,1289237.22
CATINGUEIRA,2023,35030981.74,34159572.14,32789961.31,2241020.43
CATINGUEIRA,2024,40954715.43,40850648.28,40651240.68,303474.75
CATINGUEIRA,2025,39025839.12,38805540.35,37525366.96,1500472.16
