nome_municipio,ano,total_empenhado,total_liquidado,total_pago,saldo_a_pagar
NOVA OLINDA,2023,36044441.14,36044441.14,33271312.86,2773128.28
NOVA OLINDA,2024,41125625.79,40974225.79,38802808.86,2322816.93
NOVA OLINDA,2025,39708180.16,39682628.68,37832101.8,1876078.36
NOVA PALMEIRA,2023,34475985.19,34443985.19,33247938.07,1228047.12
NOVA PALMEIRA,2024,50008718.18,49537309.18,49536748.9,471969.28
NOVA PALMEIRA,2025,54762744.91,54217404.08,53444368.61,1318376.3
OLHO D'ÁGUA,2023,33278211.21,33268043.05,32287718.93,990492.28
OLHO D'ÁGUA,2024,38276255.14,38266344.12,37232008.61,1044246.53
OLHO D'ÁGUA,2025,38876205.16,38875400.16,37303490.53,1572714.63
OLIVEDOS,2023,28402230.56,27551067.98,26200133.23,2202097.33
OLIVEDOS,2024,32622777.74,32271507.13,31919083.34,703694.4
OLIVEDOS,2025,37218108.54,35599131.03,35442524.47,1775584.07
OURO VELHO,2023,28982567.34,28382059.56,27928816.66,1053750.68
OURO VELHO,2024,33944704.22,32172515.52,32026017.38,1918686.84
OURO VELHO,2025,34178809.12,33538184.57,33397353.54,781455.58
PARARI,2023,21238021.67,21238021.67,21074329.88,163691.79
PARARI,2024,27810240.4,27228362.4,26866797.42,943442.98
PARARI,2025,28475594.21,27972801.72,27355093.86,1120500.35
PASSAGEM,2023,23446412.97,23377268.15,21791836.9,1654576.07
PASSAGEM,2024,28045627.94,27972571.78,26627569.8,1418058.14
PASSAGEM,2025,32359589.57,32098289.18,30287943.4,2071646.17
PATOS,2023,377664328.17,369547100.97,362732717.79,14931610.38
PATOS,2024,447338566.23,442617097.26,438424878.78,8913687.45
PATOS,2025,509942401.08,498825517.9,498124720.4,11817680.68
PAULISTA,2023,68539458.67,65907089.48,64370072.63,4169386.04
PAULISTA,2024,86238281.63,85809411.65,85301358.48,936923.15
PAULISTA,2025,92837162.63,91635326.88,88926945.49,3910217.14
PEDRA BRANCA,2023,28226994.76,28223795.34,27652348.12,574646.64
PEDRA BRANCA,2024,36083891.67,36072532.72,36034130.43,49761.24
PEDRA BRANCA,2025,41818391.88,41818391.88,41791058.13,27333.75
PEDRA LAVRADA,2023,48420222.83,48167017.17,47133136.31,1287086.52
PEDRA LAVRADA,2024,61134225.03,60200006.42,58942924.33,2191300.7
PEDRA LAVRADA,2025,71884237.84,71128966.06,69460499.69,2423738.15
PEDRAS DE FOGO,2023,62524786.19,61709494.96,59773157.14,2751629.05
PEDRAS DE FOGO,2024,66938194.98,66552525.37,65464760.72,1473434.26
PEDRAS DE FOGO,2025,72458622.35,71284934.4,70963809.03,1494813.32
PEDRO RÉGIS,2023,30570008.77,30443580.8,29069890.86,1500117.91
PEDRO RÉGIS,2024,37961652.44,37733025.65,35940594.78,2021057.66
PEDRO RÉGIS,2025,39509869.92,39437555.89,37199843.84,2310026.08
PIANCÓ,2023,80364725.73,80293388.71,73471675.85,6893049.88
PIANCÓ,2024,87797763.8,87797763.8,84983881.58,2813882.22
PIANCÓ,2025,97269025.87,96763554.22,94887386.26,2381639.61
PICUÍ,2023,93271457.36,92824144.2,90475308.15,2796149.21
PICUÍ,2024,110351325.93,110341094.58,110175719.2,175606.73
PICUÍ,2025,131827257.03,131691017.09,130876841.1,950415.93
PILAR,2023,53711271.05,53679252.01,50255520.43,3455750.62
PILAR,2024,64385332.58,64344629.15,63420907.29,964425.29
PILAR,2025,69839504.84,68641881.17,64168514.67,5670990.17
PILÕES,2023,42976326.23,42965488.93,42544329.13,431997.1
PILÕES,2024,48083569.95,48068392.7,48040208.58,43361.37
PILÕES,2025,53144561.17,53034544.28,52544178.67,600382.5
PILÕEZINHOS,2023,34142112.15,34021312.15,33800559.34,341552.81
PILÕEZINHOS,2024,43015883.16,42798078.56,42785855.44,230027.72
PILÕEZINHOS,2025,47316755.41,47300243.41,46669324.99,647430.42
PIRPIRITUBA,2023,39645147.64,39001366.73,38462430.86,1182716.78
PIRPIRITUBA,2024,52016647.77,49624102.77,49392486.4,2624161.37
PIRPIRITUBA,2025,50013938.15,49939363.27,49302115.84,711822.31
PITIMBU,2023,104991496.04,104421570.21,101676842.84,3314653.2
PITIMBU,2024,122827894.11,121840972.28,120322660.51,2505233.6
PITIMBU,2025,125513036.77,123613817.37,122823794.79,2689241.98
POCINHOS,2023,86966410.92,86960547.16,83639990.98,3326419.94
POCINHOS,2024,130444701.26,129369595.09,127545183.95,2899517.31
POCINHOS,2025,166311927.23,165829720.07,162511153.07,3800774.16
POÇO DANTAS,2023,37576856.28,37428739.91,36989634.49,587221.79
POÇO DANTAS,2024,45836813.86,45833314.19,45723321.16,113492.7
POÇO DANTAS,2025,50695784.22,50659792.47,50659136.5,36647.72
POÇO DE JOSÉ DE MOURA,2023,36667129.13,36620481.7,36212803.78,454325.35
POÇO DE JOSÉ DE MOURA,2024,50915276.19,50432007.71,50072147.9,843128.29
POÇO DE JOSÉ DE MOURA,2025,49992191.05,49978349.05,49173098.11,819092.94
POMBAL,2023,139368787.96,137855574.84,136611663.66,2757124.3
POMBAL,2024,151001933.35,148925434.35,147891073.42,3110859.93
POMBAL,2025,169645052.25,168009556.23,166412924.38,3232127.87
PRATA,2023,30826329.39,30579300.05,29117516.46,1708812.93
PRATA,2024,31053670.81,30771167.1,30102108.63,951562.18
PRATA,2025,38596911.61,36771636.53,35515981.28,3080930.33
PRINCESA ISABEL,2023,110644621.25,110282920.21,103998355.27,6646265.98
PRINCESA ISABEL,2024,128756897.25,127823003.6,122012641.32,6744255.93
PRINCESA ISABEL,2025,145937368.62,145292572.14,139190105.93,6747262.69
PUXINANÃ,2023,65009111.14,65009111.14,64437028.2,572082.94
PUXINANÃ,2024,84007287.86,83560887.06,82893618.25,1113669.61
PUXINANÃ,2025,100116731.37,99786431.37,99715459.87,401271.5
QUEIMADAS,2023,186117229.62,185983519.7,181227670.09,4889559.53
QUEIMADAS,2024,229469210.89,228083000.94,227464131.17,2005079.72
QUEIMADAS,2025,267231221.5,261917859.24,259343819.52,7887401.98
QUIXABÁ,2023,23321141.41,22968488.43,22968096.12,353045.29
QUIXABÁ,2024,25228008.98,25228008.98,25228008.98,0.0
QUIXABÁ,2025,26199447.03,25821460.96,25256114.25,943332.78
REMÍGIO,2023,87169034.66,86565546.91,83101249.87,4067784.79
REMÍGIO,2024,94488089.22,94488089.22,94441117.35,46971.87
REMÍGIO,2025,122356274.03,121297595.24,119381750.94,2974523.09
RIACHÃO,2023,27766108.21,27719925.21,26417487.35,1348620.86
RIACHÃO,2024,33539034.49,33524752.41,33366581.74,172452.75
RIACHÃO,2025,31681141.3,30538408.91,29257952.49,2423188.81
RIACHÃO DO BACAMARTE,2023,39846139.38,39842441.95,39117187.89,728951.49
RIACHÃO DO BACAMARTE,2024,44143706.64,43673997.39,42870725.4,1272981.24
RIACHÃO DO BACAMARTE,2025,44903833.31,44890369.95,44217567.0,686266.31
RIACHÃO DO POÇO,2023,34764035.03,34642399.81,32434303.18,2329731.85
RIACHÃO DO POÇO,2024,41180845.81,41152050.41,39111775.88,2069069.93
RIACHÃO DO POÇO,2025,38122830.93,38110310.55,37520262.79,602568.14
RIACHO DE SANTO ANTÔNIO,2023,24110235.6,24094135.3,23693840.33,416395.27
RIACHO DE SANTO ANTÔNIO,2024,28386397.28,28384463.75,27986963.73,399433.55
RIACHO DE SANTO ANTÔNIO,2025,30791229.18,30690092.06,30452600.6,338628.58
RIACHO DOS CAVALOS,2023,42079947.96,42027130.75,40075246.37,2004701.59
RIACHO DOS CAVALOS,2024,54347151.91,54339374.16,51994794.94,2352356.97
RIACHO DOS CAVALOS,2025,55544680.16,55531648.41,52373334.05,3171346.11
RIO TINTO,2023,91211379.72,91100408.8,87730997.76,3480381.96
RIO TINTO,2024,108710856.65,108456856.65,107902854.72,808001.93
RIO TINTO,2025,127988944.03,127864444.03,126629886.44,1359057.59
SALGADINHO,2023,29152705.69,29037651.59,28851381.71,301323.98
SALGADINHO,2024,33074723.59,33074723.59,32819773.93,254949.66
SALGADINHO,2025,35070040.88,35056778.9,33637443.41,1432597.47
SALGADO DE SÃO FÉLIX,2023,51703772.65,51461015.3,50022776.91,1680995.74
SALGADO DE SÃO FÉLIX,2024,59895217.16,59879432.16,59108453.39,786763.77
SALGADO DE SÃO FÉLIX,2025,64158153.32,63561745.83,62401895.41,1756257.91
SANTA CECÍLIA,2023,35068659.63,35035501.58,33927802.8,1140856.83
SANTA CECÍLIA,2024,39693001.79,39636127.67,39476564.95,216436.84
SANTA CECÍLIA,2025,44675392.63,44630696.63,44426090.03,249302.6
SANTA CRUZ,2023,36502760.28,36279141.23,33286823.93,3215936.35
SANTA CRUZ,2024,40819948.57,40668680.57,37711083.26,3108865.31
SANTA CRUZ,2025,40948160.94,40938867.09,40163685.58,784475.36
SANTA HELENA,2023,40926955.77,38867723.36,37465956.81,3460998.96
SANTA HELENA,2024,48151054.27,47201271.32,44548303.04,3602751.23
SANTA HELENA,2025,48924133.86,48070005.65,43928395.68,4995738.18
SANTA INÊS,2023,23959343.96,23959343.96,22741935.71,1217408.25
SANTA INÊS,2024,27978010.53,27978010.53,27071175.04,906835.49
SANTA INÊS,2025,30791721.07,30514267.4,29063374.48,1728346.59
SANTA LUZIA,2023,89226680.29,78667967.78,75305321.67,13921358.62
SANTA LUZIA,2024,103280623.86,103279523.4,102878645.25,401978.61
SANTA LUZIA,2025,130412717.8,128686221.31,128685349.3,1727368.5
SANTA RITA,2023,487948448.18,467754694.74,442106541.19,45841906.99
SANTA RITA,2024,565985966.57,550493594.88,540771884.51,25214082.06
SANTA RITA,2025,646676012.45,608499826.94,599328299.61,47347712.84
SANTA TERESINHA,2023,27970273.48,27970273.48,27445311.11,524962.37
SANTA TERESINHA,2024,34474314.52,34282118.72,32751662.9,1722651.62
SANTA TERESINHA,2025,35242674.38,35234074.38,33311700.45,1930973.93
SANTANA DE MANGUEIRA,2023,29135587.61,28964575.44,28488154.29,647433.32
SANTANA DE MANGUEIRA,2024,36657752.68,36637490.68,35214515.19,1443237.49
SANTANA DE MANGUEIRA,2025,41605765.33,41489470.74,41130789.2,474976.13
SANTANA DOS GARROTES,2023,33626587.54,31878264.16,31792788.42,1833799.12
SANTANA DOS GARROTES,2024,41134743.42,40883325.01,40781455.01,353288.41
SANTANA DOS GARROTES,2025,41735797.2,40935009.91,40930469.67,805327.53
SANTO ANDRÉ,2023,25470361.3,25469442.46,23242635.4,2227725.9
SANTO ANDRÉ,2024,29136917.0,29136917.0,27178421.25,1958495.75
SANTO ANDRÉ,2025,30223864.95,30147361.71,28924754.25,1299110.7
SÃO BENTINHO,2023,29715707.35,29701608.87,29049126.1,666581.25
SÃO BENTINHO,2024,34900441.81,34898416.81,34708560.06,191881.75
SÃO BENTINHO,2025,37498393.63,37498393.63,37423293.43,75100.2
SÃO BENTO,2023,154234205.95,147913390.98,135884215.89,18349990.06
SÃO BENTO,2024,210146624.72,209997894.86,207947190.03,2199434.69
SÃO BENTO,2025,228519255.97,227450487.75,224738933.45,3780322.52
SÃO DOMINGOS,2023,22679928.75,22181162.98,21797903.61,882025.14
SÃO DOMINGOS,2024,27142768.49,26485596.3,26388589.6,754178.89
SÃO DOMINGOS,2025,31431881.78,30877515.92,30877515.92,554365.86
SÃO DOMINGOS DO CARIRI,2023,24407358.27,23459667.48,23302525.58,1104832.69
SÃO DOMINGOS DO CARIRI,2024,25321308.13,24835391.97,24620318.36,700989.77
SÃO DOMINGOS DO CARIRI,2025,36774470.44,36050082.37,35491250.04,1283220.4
SÃO FRANCISCO,2023,26780112.76,26526902.05,26509902.63,270210.13
SÃO FRANCISCO,2024,31319657.02,30201388.98,30041496.44,1278160.58
SÃO FRANCISCO,2025,38213166.87,38136252.54,37923481.26,289685.61
SÃO JOÃO DO CARIRI,2023,29540660.3,29540660.3,27635535.69,1905124.61
SÃO JOÃO DO CARIRI,2024,35503043.26,35503043.26,35503043.26,0.0
SÃO JOÃO DO CARIRI,2025,41578976.44,41157004.79,39093500.12,2485476.32
SÃO JOÃO DO RIO DO PEIXE,2023,103711583.46,103181977.06,99970286.63,3741296.83
SÃO JOÃO DO RIO DO PEIXE,2024,135018335.54,134949838.76,129593470.17,5424865.37
SÃO JOÃO DO RIO DO PEIXE,2025,136368951.89,136262683.5,131113462.13,5255489.76
SÃO JOÃO DO TIGRE,2023,33011371.98,33004927.98,32713387.63,297984.35
SÃO JOÃO DO TIGRE,2024,32813404.28,32813404.28,32798547.77,14856.51
SÃO JOÃO DO TIGRE,2025,36708836.38,36228905.37,35617084.0,1091752.38
SÃO JOSÉ DA LAGOA TAPADA,2023,44040006.43,43563159.08,43157629.56,882376.87
SÃO JOSÉ DA LAGOA TAPADA,2024,49843673.72,49642211.09,47628905.4,2214768.32
SÃO JOSÉ DA LAGOA TAPADA,2025,50618413.15,48252362.43,48221976.1,2396437.05
SÃO JOSÉ DE CAIANA,2023,31899431.75,31899431.75,30090360.68,1809071.07
SÃO JOSÉ DE CAIANA,2024,44678068.22,42854047.94,42080210.68,2597857.54
SÃO JOSÉ DE CAIANA,2025,48029779.72,46968025.0,44252014.29,3777765.43
SÃO JOSÉ DE ESPINHARAS,2023,28617405.49,28364822.35,27436840.43,1180565.06
SÃO JOSÉ DE ESPINHARAS,2024,31529732.98,31459702.8,31424410.4,105322.58
SÃO JOSÉ DE ESPINHARAS,2025,37726541.08,37694810.61,37348195.25,378345.83
SÃO JOSÉ DE PIRANHAS,2023,95419731.29,94873282.29,93135071.38,2284659.91
SÃO JOSÉ DE PIRANHAS,2024,109586158.13,108436091.64,104612101.12,4974057.01
SÃO JOSÉ DE PIRANHAS,2025,111758893.84,111330022.24,105139905.84,6618988.0
SÃO JOSÉ DE PRINCESA,2023,25296206.8,25202202.38,23347548.22,1948658.58
SÃO JOSÉ DE PRINCESA,2024,25045019.36,25026559.65,24780036.88,264982.48
SÃO JOSÉ DE PRINCESA,2025,31640290.51,31246750.36,30603190.84,1037099.67
SÃO JOSÉ DO BONFIM,2023,25136876.05,25111801.05,24954815.0,182061.05
SÃO JOSÉ DO BONFIM,2024,28756591.8,28746246.8,28745316.8,11275.0
SÃO JOSÉ DO BONFIM,2025,32831513.59,32831513.59,32821994.79,9518.8
SÃO JOSÉ DO BREJO DO CRUZ,2023,24527578.55,23916049.31,23640035.2,887543.35
SÃO JOSÉ DO BREJO DO CRUZ,2024,28494086.44,28274279.78,28267839.78,226246.66
SÃO JOSÉ DO BREJO DO CRUZ,2025,30388833.0,30148339.15,30145513.62,243319.38
SÃO JOSÉ DO SABUGI,2023,39861751.97,39462298.45,36947853.58,2913898.39
SÃO JOSÉ DO SABUGI,2024,53832840.43,53651121.53,51049492.9,2783347.53
SÃO JOSÉ DO SABUGI,2025,48443266.07,46825543.45,46777657.21,1665608.86
SÃO JOSÉ DOS CORDEIROS,2023,24123637.31,24123637.31,23857022.4,266614.91
SÃO JOSÉ DOS CORDEIROS,2024,32567286.78,32073733.78,31567931.26,999355.52
SÃO JOSÉ DOS CORDEIROS,2025,38547366.35,37271407.51,36878309.49,1669056.86
SÃO JOSÉ DOS RAMOS,2023,38349367.02,38325054.93,37338410.43,1010956.59
SÃO JOSÉ DOS RAMOS,2024,45707590.69,44455532.83,44043130.54,1664460.15
SÃO JOSÉ DOS RAMOS,2025,48003456.22,47984511.52,47620318.68,383137.54
SÃO MAMEDE,2023,42629836.39,42372855.29,41915710.78,714125.61
SÃO MAMEDE,2024,66683147.59,66682367.59,66664495.51,18652.08
SÃO MAMEDE,2025,48756676.2,48569688.35,48467590.06,289086.14
SÃO MIGUEL DE TAIPU,2023,46660596.37,46020929.52,45693048.77,967547.6
SÃO MIGUEL DE TAIPU,2024,49246456.76,49170156.27,48805666.35,440790.41
SÃO MIGUEL DE TAIPU,2025,54499396.48,53391500.74,53370322.27,1129074.21
SÃO SEBASTIÃO DE LAGOA DE ROÇA,2023,55001101.54,54980712.94,54707384.78,293716.76
SÃO SEBASTIÃO DE LAGOA DE ROÇA,2024,63095876.33,63084867.92,62945003.81,150872.52
SÃO SEBASTIÃO DE LAGOA DE ROÇA,2025,67379180.75,66910349.78,66613146.35,766034.4
SÃO SEBASTIÃO DO UMBUZEIRO,2023,24885811.21,24885063.21,23617045.92,1268765.29
SÃO SEBASTIÃO DO UMBUZEIRO,2024,31719786.09,31719786.09,30722312.58,997473.51
SÃO SEBASTIÃO DO UMBUZEIRO,2025,33701001.29,33700983.03,32402004.63,1298996.66
SÃO VICENTE DO SERIDÓ,2023,49759027.23,49675089.97,43478710.35,6280316.88
SÃO VICENTE DO SERIDÓ,2024,56551406.95,55904260.98,50953762.41,5597644.54
SÃO VICENTE DO SERIDÓ,2025,55452713.38,55232129.2,53216841.63,2235871.75
SAPÉ,2023,214258669.84,213482814.93,195574109.06,18684560.78
SAPÉ,2024,242028703.94,240852135.63,224174824.75,17853879.19
SAPÉ,2025,268079367.82,267515098.32,242240827.29,25838540.53
SERRA BRANCA,2023,61620046.53,61392937.73,60833284.07,786762.46
SERRA BRANCA,2024,74239746.41,74192163.81,74128532.32,111214.09
SERRA BRANCA,2025,85414996.73,82590610.27,79552689.85,5862306.88
SERRA DA RAIZ,2023,28454380.21,28328463.18,28107402.88,346977.33
SERRA DA RAIZ,2024,32283713.88,32283713.88,32278097.06,5616.82
SERRA DA RAIZ,2025,35745748.2,35745661.1,35562213.6,183534.6
SERRA GRANDE,2023,25118683.52,25118683.52,24290878.84,827804.68
SERRA GRANDE,2024,27615595.45,27362580.59,26665533.36,950062.09
SERRA GRANDE,2025,34113644.48,34069992.46,33107855.2,1005789.28
SERRA REDONDA,2023,29449487.0,29448550.93,28131602.16,1317884.84
SERRA REDONDA,2024,36985009.61,35814841.24,35469659.84,1515349.77
SERRA REDONDA,2025,44470446.12,44042684.2,41506487.48,2963958.64
SERRARIA,2023,27350148.7,27169152.98,25791044.25,1559104.45
SERRARIA,2024,33203238.17,32923238.17,32250163.4,953074.77
SERRARIA,2025,37070632.67,37066682.67,35450813.97,1619818.7
SERTÃOZINHO,2023,34501255.44,34313983.88,33523104.01,978151.43
SERTÃOZINHO,2024,42112797.64,42087971.38,41945202.87,167594.77
SERTÃOZINHO,2025,45823033.36,45588985.48,44944931.17,878102.19
SOBRADO,2023,42475107.75,42396110.12,39213113.74,3261994.01
SOBRADO,2024,48448780.75,48448185.38,47836306.84,612473.91
SOBRADO,2025,54087040.81,54082012.06,53579942.52,507098.29
SOLÂNEA,2023,83198584.11,82903928.76,81908264.34,1290319.77
SOLÂNEA,2024,107246060.72,107213135.3,107185800.25,60260.47
SOLÂNEA,2025,108539542.12,108462949.14,107336852.95,1202689.17
SOLEDADE,2023,71086083.01,70217517.29,69068882.42,2017200.59
SOLEDADE,2024,90508654.38,89290519.88,87515022.6,2993631.78
SOLEDADE,2025,94872486.52,93891927.67,92450777.18,2421709.34
SOSSÊGO,2023,26091660.99,25799897.65,25499515.51,592145.48
SOSSÊGO,2024,30269466.64,30014557.08,29742646.35,526820.29
SOSSÊGO,2025,34465097.32,33951811.41,33899682.4,565414.92
SOUSA,2023,225583250.85,221685526.78,212922846.57,12660404.28
SOUSA,2024,274742706.78,274336096.81,269924139.2,4818567.58
SOUSA,2025,281694719.36,280443358.94,274183196.6,7511522.76
SUMÉ,2023,102141781.61,101805313.29,97602792.07,4538989.54
SUMÉ,2024,128609478.43,128525470.91,125075512.32,3533966.11
SUMÉ,2025,111575566.74,111469101.18,108712856.86,2862709.88
TACIMA,2023,44483852.06,43551450.19,40904016.08,3579835.98
TACIMA,2024,47851060.25,47464015.9,46123128.72,1727931.53
TACIMA,2025,50745813.44,50537947.07,49026481.25,1719332.19
TAPEROÁ,2023,64752468.22,64744068.22,61316343.23,3436124.99
TAPEROÁ,2024,79223090.44,79219433.17,75116790.62,4106299.82
TAPEROÁ,2025,88264851.46,88252943.45,86496101.88,1768749.58
TAVARES,2023,60921592.38,60861930.89,58612879.83,2308712.55
TAVARES,2024,76240206.73,75761790.49,73319939.12,2920267.61
TAVARES,2025,83842007.59,82930108.46,77501684.43,6340323.16
TEIXEIRA,2023,66038397.54,65977296.44,63736287.78,2302109.76
TEIXEIRA,2024,81181521.44,81169390.44,80752880.17,428641.27
TEIXEIRA,2025,92759043.69,92551052.96,92551052.96,207990.73
TENÓRIO,2023,25075267.93,25075267.93,24799258.58,276009.35
TENÓRIO,2024,30964767.75,30954276.73,30721598.25,243169.5
TENÓRIO,2025,33430175.76,33430175.76,33208801.65,221374.11
TRIUNFO,2023,60359819.24,60327740.64,58432496.54,1927322.7
TRIUNFO,2024,72825324.05,72334075.05,71066714.32,1758609.73
TRIUNFO,2025,81623278.67,81563530.64,80841113.9,782164.77
UIRAÚNA,2023,82849404.42,82637575.84,80624126.58,2225277.84
UIRAÚNA,2024,101327788.92,100393363.94,98566122.1,2761666.82
UIRAÚNA,2025,101808524.41,101807927.61,101807382.17,1142.24
UMBUZEIRO,2023,53856435.63,53851689.63,50808468.3,3047967.33
UMBUZEIRO,2024,73611273.81,73608340.29,71170169.52,2441104.29
UMBUZEIRO,2025,73722604.08,73709175.14,68869828.93,4852775.15
VÁRZEA,2023,23337323.62,23337323.62,23337323.62,0.0
VÁRZEA,2024,25232667.72,25232667.72,25232667.72,0.0
VÁRZEA,2025,25123637.86,25088767.44,25042843.02,80794.84
VIEIRÓPOLIS,2023,30060406.33,30060406.33,29067488.52,992917.81
VIEIRÓPOLIS,2024,35925880.82,35925880.82,35639570.2,286310.62
VIEIRÓPOLIS,2025,40017344.42,39845822.24,39845822.24,171522.18
VISTA SERRANA,2023,29484216.13,28663434.67,28464962.3,1019253.83
VISTA SERRANA,2024,32472730.0,32060730.0,32060730.0,412000.0
VISTA SERRANA,2025,36102989.36,36077672.63,35814123.95,288865.41
ZABELÊ,2023,28572630.38,28527221.32,26779100.84,1793529.54
ZABELÊ,2024,29370763.25,29346782.9,27765902.38,1604860.87
ZABELÊ,2025,31312656.95,30806504.46,29896277.55,1416379.4
